instance,n,algorithm,initial_len,initial_gap_pct,2opt_len,2opt_gap_pct,3opt_len,3opt_gap_pct,init_time,2opt_time,3opt_time
Tnm82.tsp,82,MHLPQI,1114054.2740513529,,1101107.4534632387,,1101107.4534632387,,0.0023962999985087663,0.004536000022199005,0.07953240000642836
Tnm82.tsp,82,HullRot-LPQI,1134431.795689621,,1134431.795689621,,1134431.795689621,,0.34826940001221374,0.0021647999819833785,0.08457310000085272
Tnm85.tsp,85,LPQI,1195602.2242328282,,1195602.2242328282,,1195602.2242328282,,0.06262519999290816,0.002769999991869554,0.09273040000698529
Tnm85.tsp,85,MHLPQI,1156325.3743011875,,1156325.3743011875,,1156325.3743011875,,0.002495900000212714,0.0023486000136472285,0.08806049998383969
Tnm85.tsp,85,HullRot-LPQI,1195602.2242328282,,1195602.2242328282,,1195602.2242328282,,0.3845721000107005,0.0023360000050161034,0.08678720000898466
Tnm88.tsp,88,LPQI,1256855.150787184,,1256855.150787184,,1256855.150787184,,0.05838440000661649,0.002492200001142919,0.09509780001826584
Tnm88.tsp,88,MHLPQI,1217298.6010248933,,1217298.6010248933,,1217298.6010248933,,0.002737400005571544,0.0025212000182364136,0.09696160000748932
Tnm88.tsp,88,HullRot-LPQI,1256855.150787184,,1256855.150787184,,1256855.150787184,,0.4615275000105612,0.0025282000133302063,0.0951333999983035
Tnm91.tsp,91,LPQI,1318176.3408269547,,1318176.3408269547,,1318176.3408269547,,0.06613880000077188,0.002664700004970655,0.1075725999835413
Tnm91.tsp,91,MHLPQI,1294778.4387999573,,1294778.4387999573,,1292731.2603560311,,0.0028486000082921237,0.0026710999954957515,0.10824459997820668
Tnm91.tsp,91,HullRot-LPQI,1318176.3408269547,,1318176.3408269547,,1318176.3408269547,,0.4478866000135895,0.002682899998035282,0.10538399999495596
Tnm94.tsp,94,LPQI,1332716.893954551,,1330037.4679340885,,1330037.4679340885,,0.070777699991595,0.006104999978560954,0.12007780000567436
Tnm94.tsp,94,MHLPQI,1347874.5426908094,,1335194.160150806,,1335194.160150806,,0.0031253000197466463,0.0091651999973692,0.1637771999812685
Tnm94.tsp,94,HullRot-LPQI,1332716.893954551,,1330037.4679340885,,1330037.4679340885,,0.4930502000206616,0.005810000002384186,0.11801949999062344
Tnm97.tsp,97,LPQI,1394028.6407119646,,1394028.6407119646,,1394028.6407119646,,0.0781270999868866,0.003042299998924136,0.1308061000017915
Tnm97.tsp,97,MHLPQI,1350179.082056484,,1350179.082056484,,1347538.34700983,,0.003388000011909753,0.0031413999968208373,0.1346823000058066
Tnm97.tsp,97,HullRot-LPQI,1394028.6407119646,,1394028.6407119646,,1394028.6407119646,,0.534808399999747,0.0030540000007022172,0.12992549999034964
